date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:39	299178/299178	---MCZ	200	added ('OK')	text/html	etag:cacheable:af278bade730d56a0c48e736d96d056d	https://beistravel.com/collections/weekender	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/weekender.html	(from https://beistravel.com/)
11:02:39	253279/253279	---MCZ	200	added ('OK')	text/html	etag:cacheable:7e501ad5f80cfa5991d6fb9ee1fa7b3d	https://beistravel.com/collections/work-totes	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/work-totes.html	(from https://beistravel.com/)
11:02:39	493596/493596	---MCZ	200	added ('OK')	text/html	etag:cacheable:376528a864a1ea2bcff23ef9b1ad7d51	https://beistravel.com/collections/tote-bags	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/tote-bags.html	(from https://beistravel.com/)
11:02:40	327405/327405	---MCZ	200	added ('OK')	text/html	etag:cacheable:539a169a623c30c2ee7051b4d0b2219c	https://beistravel.com/collections/backpacks	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/backpacks.html	(from https://beistravel.com/)
11:02:43	280619/280619	---MCZ	200	added ('OK')	text/html	etag:cacheable:76a07085bfd9be971612fec8b4591c3a	https://beistravel.com/collections/the-baby-collection	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/the-baby-collection.html	(from https://beistravel.com/)
11:02:44	303947/303947	---MCZ	200	added ('OK')	text/html	etag:cacheable:689f2d1d49959d74a19c4625a8bb9d90	https://beistravel.com/collections/active-bags	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/active-bags.html	(from https://beistravel.com/)
11:02:46	20376/20376	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2005:37:03%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_bagsnav_300x.jpg?v=1600740927	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_bagsnav_300x2b8c.jpg	(from https://beistravel.com/)
11:02:46	229867/229867	---MCZ	200	added ('OK')	text/html	etag:cacheable:2da9eba939adc344c58337a638610003	https://beistravel.com/collections/luggage-bundle	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/luggage-bundle.html	(from https://beistravel.com/)
11:02:49	409243/409243	---MCZ	200	added ('OK')	text/html	etag:cacheable:af718cd3076b68a0210d447cc9a9f5b6	https://beistravel.com/collections/cosmetic-bags	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/cosmetic-bags.html	(from https://beistravel.com/)
11:02:49	19430/19430	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2004:58:56%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/files/hero-3-beige-luggage_769x1153_crop_center_88944b75-803f-4bb9-9a7b-21ca6d451182_300x.jpg?v=1600741715	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/files/hero-3-beige-luggage_769x1153_crop_center_88944b75-803f-4bb9-9a7b-21ca6d451182_300x4b30.jpg	(from https://beistravel.com/)
